"external_gene_name","ensembl_gene_id","gene_biotype","entrezgene_id","chromosome_name","Bait"
"SUN2","ENSG00000100242","protein_coding",25777,"22","SARS-CoV2 orf3a"
"TAPT1","ENSG00000169762","protein_coding",202018,"4","SARS-CoV2 orf9c"
"TARS2","ENSG00000143374","protein_coding",80222,"1","SARS-CoV2 M"
"TBCA","ENSG00000171530","protein_coding",6902,"5","SARS-CoV2 nsp11"
"TBK1","ENSG00000183735","protein_coding",29110,"12","SARS-CoV2 nsp13"
"TBKBP1","ENSG00000198933","protein_coding",9755,"17","SARS-CoV2 nsp13"
"TCF12","ENSG00000140262","protein_coding",6938,"15","SARS-CoV2 nsp12"
"THTPA","ENSG00000259431","protein_coding",79178,"14","SARS-CoV2 orf10"
"TIMM10","ENSG00000134809","protein_coding",26519,"11","SARS-CoV2 nsp4"
"TIMM10B","ENSG00000132286","protein_coding",26515,"11","SARS-CoV2 nsp4"
"TIMM29","ENSG00000142444","protein_coding",90580,"19","SARS-CoV2 nsp4"
"TIMM8B","ENSG00000150779","protein_coding",26521,"11","SARS-CoV2 orf10"
"TIMM9","ENSG00000100575","protein_coding",26520,"14","SARS-CoV2 nsp4"
"TLE1","ENSG00000196781","protein_coding",7088,"9","SARS-CoV2 nsp13"
"TLE3","ENSG00000140332","protein_coding",7090,"15","SARS-CoV2 nsp13"
"TLE5","ENSG00000104964","protein_coding",166,"19","SARS-CoV2 nsp13"
"TM2D3","ENSG00000184277","protein_coding",80213,"15","SARS-CoV2 orf8"
"TMED5","ENSG00000117500","protein_coding",50999,"1","SARS-CoV2 orf9c"
"TMEM39B","ENSG00000121775","protein_coding",55116,"1","SARS-CoV2 orf9c"
"TMEM97","ENSG00000109084","protein_coding",27346,"17","SARS-CoV2 orf9c"
"TOMM70","ENSG00000154174","protein_coding",9868,"3","SARS-CoV2 orf9b"
"TOR1A","ENSG00000136827","protein_coding",1861,"9","SARS-CoV2 orf8"
"TOR1AIP1","ENSG00000143337","protein_coding",26092,"1","SARS-CoV2 nsp7"
"TRIM59","ENSG00000213186","protein_coding",286827,"3","SARS-CoV2 orf3a"
"TRMT1","ENSG00000104907","protein_coding",55621,"19","SARS-CoV2 nsp5_C145A"
"TUBGCP2","ENSG00000130640","protein_coding",10844,"10","SARS-CoV2 M"
"TUBGCP3","ENSG00000126216","protein_coding",10426,"13","SARS-CoV2 M"
"TYSND1","ENSG00000156521","protein_coding",219743,"10","SARS-CoV2 nsp12"
"UBAP2","ENSG00000137073","protein_coding",55833,"9","SARS-CoV2 nsp12"
"UBAP2L","ENSG00000143569","protein_coding",9898,"1","SARS-CoV2 nsp12"
"UBXN8","ENSG00000104691","protein_coding",7993,"8","SARS-CoV2 orf9c"
"UGGT2","ENSG00000102595","protein_coding",55757,"13","SARS-CoV2 orf8"
"UPF1","ENSG00000005007","protein_coding",5976,"19","SARS-CoV2 N"
"USP13","ENSG00000058056","protein_coding",8975,"3","SARS-CoV2 nsp13"
"USP54","ENSG00000166348","protein_coding",159195,"10","SARS-CoV2 nsp12"
"VPS11","ENSG00000160695","protein_coding",55823,"11","SARS-CoV2 orf3a"
"VPS39","ENSG00000166887","protein_coding",23339,"15","SARS-CoV2 orf3a"
"WASHC4","ENSG00000136051","protein_coding",23325,"12","SARS-CoV2 nsp2"
"WFS1","ENSG00000109501","protein_coding",7466,"4","SARS-CoV2 orf9c"
